EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
200,Other,[NAME_REDACTED],[INVALID_EMAIL],[PHONE_REDACTED],17-SEP-03,AD_ASST,4400, - ,101,10
201,Other,[NAME_REDACTED],[INVALID_EMAIL],[PHONE_REDACTED],17-FEB-04,MK_MAN,13000, - ,100,20
202,Other,[NAME_REDACTED],[INVALID_EMAIL],[PHONE_REDACTED],17-AUG-05,MK_REP,6000, - ,201,20
203,Other,[NAME_REDACTED],[INVALID_EMAIL],[PHONE_REDACTED],07-JUN-02,HR_REP,6500, - ,101,40
204,Other,[NAME_REDACTED],[INVALID_EMAIL],[PHONE_REDACTED],07-JUN-02,PR_REP,10000, - ,101,70
205,Other,[NAME_REDACTED],[INVALID_EMAIL],[PHONE_REDACTED],07-JUN-02,AC_MGR,12008, - ,101,110
206,Other,[NAME_REDACTED],[INVALID_EMAIL],[PHONE_REDACTED],07-JUN-02,AC_ACCOUNT,8300, - ,205,110
100,Other,[NAME_REDACTED],[INVALID_EMAIL],[PHONE_REDACTED],17-JUN-03,AD_PRES,24000, - , - ,90
101,Other,[NAME_REDACTED],[INVALID_EMAIL],[PHONE_REDACTED],21-SEP-05,AD_VP,17000, - ,100,90
102,Other,[NAME_REDACTED],[INVALID_EMAIL],[PHONE_REDACTED],13-JAN-01,AD_VP,17000, - ,100,90
103,Other,[NAME_REDACTED],[INVALID_EMAIL],[PHONE_REDACTED],03-JAN-06,IT_PROG,9000, - ,102,60
104,Other,[NAME_REDACTED],[INVALID_EMAIL],[PHONE_REDACTED],21-MAY-07,IT_PROG,6000, - ,103,60
105,Other,[NAME_REDACTED],[INVALID_EMAIL],[PHONE_REDACTED],25-JUN-05,IT_PROG,4800, - ,103,60
106,Other,[NAME_REDACTED],[INVALID_EMAIL],[PHONE_REDACTED],05-FEB-06,IT_PROG,4800, - ,103,60
107,Other,[NAME_REDACTED],[INVALID_EMAIL],[PHONE_REDACTED],07-FEB-07,IT_PROG,4200, - ,103,60
108,Other,[NAME_REDACTED],[INVALID_EMAIL],[PHONE_REDACTED],17-AUG-02,FI_MGR,12008, - ,101,100
109,Other,[NAME_REDACTED],[INVALID_EMAIL],[PHONE_REDACTED],16-AUG-02,FI_ACCOUNT,9000, - ,108,100
110,Other,[NAME_REDACTED],[INVALID_EMAIL],[PHONE_REDACTED],28-SEP-05,FI_ACCOUNT,8200, - ,108,100
111,Other,[NAME_REDACTED],[INVALID_EMAIL],[PHONE_REDACTED],30-SEP-05,FI_ACCOUNT,7700, - ,108,100
